event_id,begin_date,display_date,begin_time,deaths_direct,injuries_direct,damage_property_num,damage_crops_num,city,latitude,longitude
5305041,20020601,06/01/2002,1500,0,0,0,0,Akron,40.0733261108,-103.202379
5305042,20020601,06/01/2002,1500,0,0,0,0,Brush,40.2185478210,-103.613248
5305040,20020601,06/01/2002,1500,0,0,0,0,"New Raymer",40.7362709045,-103.878656
5305043,20020601,06/01/2002,1500,0,0,0,0,Sterling,40.7150802612,-103.211191
5305039,20020601,06/01/2002,1745,0,1,0,0,Briggsdale,40.4435958862,-104.240542
5305259,20020619,06/19/2002,1800,0,0,5000,0,Evergreen,39.5758056641,-105.2750965
5305260,20020619,06/19/2002,2130,0,0,25000,0,Boulder,40.0840665181,-105.36305360000014
5304213,20020627,06/27/2002,1600,0,0,3000,0,Norwood,38.0289001465,-108.316049
5300459,20020628,06/28/2002,1730,0,0,30000,0,Penrose,38.4141235352,-105.047277
5313030,20020805,08/05/2002,1400,0,1,0,0,Bailey,39.2037200928,-105.74724199999999
5313029,20020805,08/05/2002,1600,0,0,0,0,"Commerce City",39.8389015198,-104.58972250000001
5354174,20030417,04/17/2003,1800,0,0,0,0,"Fort Collins",40.5679804484,-105.27640044444456
5354173,20030417,04/17/2003,1800,0,0,0,0,Greeley,40.4073219299,-104.59527383333335
5350831,20030524,05/24/2003,1050,0,0,0,0,Burlington,39.3089675903,-102.461287
5362011,20030531,05/31/2003,1600,1,1,0,0,Loveland,40.4970601400,-105.20439233333337
5368203,20030612,06/12/2003,1430,0,0,0,0,Sedalia,39.3113327026,-105.067554
5367857,20030617,06/17/2003,1330,0,0,0,0,Denver,39.7428072852,-104.83197041891876
5367856,20030617,06/17/2003,1430,0,0,0,0,Littleton,39.5962165833,-104.86443779999999
5367858,20030617,06/17/2003,2129,0,0,0,0,Lafayette,40.0263328552,-105.104899
5367859,20030617,06/17/2003,2132,0,0,0,0,Louisville,40.0343341827,-105.32171100000001
5376196,20030724,07/24/2003,1803,0,0,50000,0,Salida,38.6291198730,-106.120582
5376197,20030725,07/25/2003,1330,0,1,0,0,Monument,39.0863914490,-104.807666
5337150,20030727,07/27/2003,1325,0,0,5000,0,Durango,37.3378067017,-107.908156
5376481,20030727,07/27/2003,1536,1,1,0,0,Crestone,37.9530372620,-105.68788
5379198,20030728,07/28/2003,1400,0,0,10000,0,"Steamboat Springs",40.5335286458,-106.90649433333334
5379544,20030731,07/31/2003,1830,2,0,0,0,Rifle,39.5822715759,-107.794723
5374652,20030802,08/02/2003,1330,0,0,0,0,Alamosa,37.4779796600,-105.836373
5374058,20030803,08/03/2003,2000,0,1,0,0,"Red Feather Lakes",40.6101760864,-105.638852
5332929,20030811,08/11/2003,1750,0,1,0,0,"Woodland Park",38.9773941040,-105.16118399999999
5374684,20030812,08/12/2003,1930,0,0,5000,0,Cedaredge,38.8816452026,-107.795704
5374740,20030816,08/16/2003,1200,0,1,0,0,Georgetown,39.7257041931,-105.760626
5332933,20030818,08/18/2003,1605,0,0,25000,0,Pueblo,38.1757924398,-104.61457646666666
5332931,20030823,08/23/2003,1400,0,3,0,0,"Colorado Springs",38.8424554942,-104.67119022448964
5374739,20030827,08/27/2003,1630,0,0,0,0,Arvada,39.7488632202,-105.15527757142864
5403305,20040512,05/12/2004,830,1,0,0,0,Montrose,38.4640808105,-107.968332
5402197,20040614,06/14/2004,1500,0,0,0,0,Jamestown,40.1019859314,-105.423992
5402198,20040614,06/14/2004,1900,0,1,0,0,"Castle Rock",39.3747787476,-104.84998799999997
5402096,20040615,06/15/2004,1200,0,1,0,0,Alma,39.2979736328,-106.063548
5411973,20040617,06/17/2004,1530,0,0,60000,0,Carbondale,39.4768562317,-107.38813
5402195,20040620,06/20/2004,1350,0,19,0,0,Kremmling,40.1476821899,-106.378296
5420256,20040706,07/06/2004,1610,0,0,0,0,Evans,40.2634544373,-104.791285
5413410,20040719,07/19/2004,1300,0,1,0,0,Monarch,38.5457572937,-106.243422
5413411,20040721,07/21/2004,1300,0,0,0,0,"Buena Vista",38.8850326538,-106.179938
5413412,20040727,07/27/2004,1300,0,0,0,0,"Cripple Creek",38.8260841370,-105.149874
5417172,20040730,07/30/2004,1615,0,0,0,0,Milliken,40.3873825073,-104.841349
5421209,20040801,08/01/2004,1430,1,4,0,0,Breckenridge,39.4753227234,-106.022472
5419399,20040813,08/13/2004,2210,0,0,4000,0,"Rocky Ford",37.9958686829,-103.708332
5444592,20050323,03/23/2005,1720,0,0,0,0,Golden,39.6480979919,-105.240986
5452835,20050530,05/30/2005,1500,0,0,0,0,Westminster,39.8409404755,-104.72120249999995
5503038,20050731,07/31/2005,1900,0,0,4000,0,Cortez,37.3735923767,-108.662826
5474049,20050908,09/08/2005,1445,0,1,1000,0,Almont,38.8200073242,-106.660278
5503359,20060427,04/27/2006,2200,0,0,0,0,Julesburg,40.8756065369,-102.351994
5508279,20060519,05/19/2006,1225,0,0,70000,0,Beulah,38.1273612976,-104.63577
5528299,20060703,07/03/2006,1220,0,1,0,0,Granby,40.0738677979,-105.928533
5522002,20060726,07/26/2006,1459,0,0,20000,0,"Canon City",38.4776166280,-105.486919
5524322,20060729,07/29/2006,1800,0,0,2000,0,Aspen,39.1963691711,-106.829759
5528224,20060801,08/01/2006,1730,0,0,0,0,Parker,39.4998435974,-104.783169
19960,20070505,05/05/2007,1500,0,0,5000,0,Conifer,39.4735412598,-105.284448
40467,20070602,06/02/2007,1330,0,1,0,0,"Manitou Springs",38.8533668518,-104.927452
50122,20070715,07/15/2007,1830,0,0,2000,0,Hooper,37.6991844177,-105.873616
45917,20070727,07/27/2007,1700,1,0,5000,0,Morrison,39.6102905273,-105.201967
56836,20070816,08/16/2007,2000,0,0,10000,0,"La Junta",37.9546203613,-103.664437
56839,20070819,08/19/2007,1400,0,1,0,0,"Twin Lakes",39.1514663696,-106.422616
68765,20080202,02/02/2008,2135,0,0,1000,0,Englewood,39.6931441171,-104.61916357142859
122478,20080626,06/26/2008,1200,0,0,10000,30000,Guffey,38.8353729248,-105.562124
125870,20080630,06/30/2008,135,0,0,10000,0,"Pagosa Springs",37.2363452911,-107.10967149999999
125869,20080630,06/30/2008,1200,0,0,1000,0,Cascade,38.9455337524,-104.994972
121614,20080701,07/01/2008,1943,0,0,2500,0,Gunnison,38.5627148946,-107.08985866666667
123927,20080703,07/03/2008,1430,0,0,150000,0,Howard,38.4100112915,-105.769848
123508,20080728,07/28/2008,1341,1,0,0,0,Creede,37.7612915039,-106.981852
122153,20080804,08/04/2008,1200,0,0,100000,10000,"Pleasant View",37.5515632629,-108.829926
112279,20080804,08/04/2008,1530,0,0,6000,0,Kirk,39.6644210815,-102.546469
122913,20080815,08/15/2008,300,0,0,20000,0,Aurora,39.7214828940,-104.64977676470589
126518,20080816,08/16/2008,1300,0,0,500000,0,Vail,39.6032867432,-106.473022
122916,20080831,08/31/2008,1400,0,0,20000,0,Brighton,39.9429855347,-104.786597
165874,20090525,05/25/2009,1312,0,2,0,0,Lucerne,40.4824295044,-104.70542
180860,20090603,06/03/2009,1105,0,0,30000,0,Yampa,40.1304435730,-106.911567
190611,20090701,07/01/2009,1540,0,0,3000,0,"U S A F Academy",38.9019641876,-104.71129400000001
194205,20090803,08/03/2009,1538,0,0,0,1000,"Deer Trail",39.6594619751,-103.948538
192582,20090806,08/06/2009,1500,0,0,5000,0,Longmont,40.1354818344,-105.18004525
192578,20090806,08/06/2009,1630,0,0,25000,0,Bennett,39.8693847656,-104.458336
194206,20090816,08/16/2009,1748,0,0,5000,0,"Fort Morgan",40.2625923157,-103.847648
240633,20100626,06/26/2010,1740,0,0,1000,0,Fairplay,39.1489982605,-105.885893
251621,20100720,07/20/2010,1230,0,0,0,10000,Berthoud,40.5304756165,-105.321046
254524,20100728,07/28/2010,1600,0,0,5000,0,Nederland,40.0006866455,-105.495998
353305,20100819,08/19/2010,410,0,0,1000,0,Mancos,37.3360404968,-108.468364
258776,20100920,09/20/2010,1622,0,0,0,10000,Kersey,40.4740409851,-104.472779
331578,20110706,07/06/2011,1152,0,0,5000,0,"Estes Park",40.4994297028,-105.446608
339302,20110710,07/10/2011,1300,0,0,5000,0,Dillon,39.5952110291,-105.974117
346347,20110831,08/31/2011,1330,1,1,0,0,Westcliffe,38.0951728821,-105.421953
437095,20111025,10/25/2011,1930,0,0,20000,0,Bayfield,37.2920646667,-107.736318
390570,20120730,07/30/2012,1810,0,0,30000,0,Peyton,38.9842071533,-104.526328
